nom,dataset_count,details
Estérel Côte d'Azur Agglomération,1,{'gtfs': 1}
CA de Vesoul,1,"{'gtfs': 1, 'gtfs_rt': 2}"
CA de la Baie de Somme,0,{}
Île-de-France Mobilités,1,"{'gtfs': 2, 'netex': 1, 'siri_lite': 3}"
CC des Pays d'Oise et d'Halatte,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
CA Flers Agglo,2,{'gtfs': 3}
CA Arlysère,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CC de l'Aire Cantilienne,3,"{'gtfs': 3, 'gtfs_rt': 8, 'netex': 3, 'siri': 4}"
CA Durance-Lubéron-Verdon Agglomération,1,{'gtfs': 1}
CA Dinan Agglomération,1,{'gtfs': 1}
CA de Haguenau,2,"{'gtfs': 2, 'gtfs_rt': 1, 'netex': 1}"
CA Val de Garonne Agglomération,1,"{'gtfs': 2, 'netex': 3}"
CA des Deux Baies en Montreuillois,0,{}
CC des Sablons,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
CC Moselle et Madon,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CA du Grand Cognac,1,"{'gtfs': 2, 'netex': 3}"
CA Territoires Vendômois,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CA Seine Normandie Agglomération,2,"{'gtfs': 3, 'gtfs_rt': 2}"
CC Pontivy Communauté,1,"{'gtfs': 2, 'gtfs_rt': 1}"
Loire Forez Agglomération (LFA),2,{'gtfs': 2}
CA du Grand Villeneuvois,1,{'gtfs': 1}
CA de la Presqu'île de Guérande Atlantique (CAP ATLANTIQUE),1,{'gtfs': 1}
CA de Sophia Antipolis,1,{'gtfs': 1}
CA du Pays de Saint-Omer,1,{'gtfs': 1}
CA Lamballe Terre et Mer,1,{'gtfs': 2}
CA de la Région de Château-Thierry,1,{'gtfs': 1}
CC de la Vallée de Chamonix-Mont-Blanc,1,{'gtfs': 2}
CA Rochefort Océan,1,"{'gtfs': 2, 'netex': 3}"
PETR du Pays du Lunévillois,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CA Royan Atlantique,2,"{'gtfs': 3, 'netex': 3}"
CA Ventoux-Comtat-Venaissin (COVE),1,{'gtfs': 1}
CA Hérault-Méditerranée,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CA Quimperlé Communauté,1,"{'gtfs': 2, 'gtfs_rt': 2}"
CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1,"{'gtfs': 2, 'gtfs_rt': 2}"
CC Decazeville Communauté,1,{'gtfs': 3}
CC Sarrebourg Moselle Sud,1,"{'gtfs': 1, 'netex': 1}"
SI de transport urbain Tout'en Bus,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC de Miribel et du Plateau,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CA du Pays de Gex,1,{'gtfs': 1}
CA de la Provence Verte,1,{'gtfs': 1}
CA Pays Foix-Varilhes,1,{'gtfs': 1}
CA Arche Agglo,0,{'gtfs': 1}
CA Pornic Agglo Pays de Retz,0,{}
CC des Portes de Romilly sur Seine,0,{}
CA Clisson Sèvre et Maine Agglo,0,{'gtfs': 1}
CC Poher Communauté,0,{}
CA Luberon Monts de Vaucluse,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC Rumilly Terre de Savoie,1,{'gtfs': 2}
CC de la Grande Vallée de la Marne,0,{}
CA Sud Sainte Baume,2,{'gtfs': 2}
CA Mauges Communauté,0,{}
CC Maremne Adour Côte Sud,1,"{'gtfs': 2, 'netex': 2}"
CA du Gard Rhodanien,0,{}
